id,user_id,action_type,message_content,target_channel_id,timestamp,,
1,-1.00137E+12,sent,"Agriculture success story : இந்த காலத்திலும் மூன்று போக விவசாயம்...  #local18

https://tamil.news18.com/videos/tamil-nadu/agriculture-success-story-three-way-agriculture-in-this-era-too-local18-1717377.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",1374265849,02-02-2025 09:47,,
2,-1.00137E+12,sent,"TVK Vijay  | பனையூரில் நடிகர் விஜயை சந்தித்த ஜப்பானியர்கள் | N18S

https://tamil.news18.com/videos/tamil-nadu/tvk-vijay-japanese-people-met-actor-vijay-in-panayur-n18s-1717375.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",1374265849,02-02-2025 09:47,,
3,-1.00137E+12,sent,"Sollathigaram | ஒரு லட்சம் கோடி இழப்பை எப்படி சரி செய்ய போறாங்க? | N18S

https://tamil.news18.com/videos/tamil-nadu/sollathigaram-how-are-they-going-to-fix-the-loss-of-one-lakh-crores-n18s-1717373.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",1374265849,02-02-2025 09:47,,
4,-1.00137E+12,sent,"Sollathigaram | எல்லாருமே வரி கட்டி கொண்டுதான் இருக்கோம்"" -பாலச்சந்திரன் | N18S",,,,
,,,,,,,
"https://tamil.news18.com/videos/tamil-nadu/sollathigaram-we-are-all-paying-taxes-balachandran-n18s-1717369.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram""",1374265849,02-02-2025 09:47,,,,,
5,-1.00137E+12,sent,"Sollathigaram | இளைஞர்கள் நலனுக்கான ஒரு அம்சம் இது -பேரா ஆசிர்வாதம் ஆச்சாரி | N18S

https://tamil.news18.com/videos/tamil-nadu/sollathigaram-this-is-a-feature-for-the-welfare-of-the-youth-bera-ashirvadham-acharya-n18s-1717371.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",1374265849,02-02-2025 09:47,,
6,-1.00137E+12,sent,"Gold Bonds | மத்திய அரசின்  கஜானாவை காலி செய்த தங்க கடன் பத்திர திட்டம் | Union Budget 2025 | N18S

https://tamil.news18.com/videos/tamil-nadu/gold-bonds-the-gold-bond-scheme-that-emptied-the-central-government-s-treasury-union-budget-2025-n18s-1717349.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",1374265849,02-02-2025 09:47,,
7,-1.00137E+12,sent,"Thulam Rasi | துலாம் ராசிக்கு இனி நல்ல காலகட்டம் வரப்போகுது | Jothidar Shelvi | N18V

https://tamil.news18.com/videos/tamil-nadu/thulam-rasi-good-times-are-coming-for-libra-jothidar-shelvi-n18v-1717320.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",1374265849,02-02-2025 09:47,,
8,-1.00137E+12,sent,"TVK Vijay | விஜயை நேரில் பார்த்ததும் ஆச்சரியத்தில் உறைந்து போன ஜப்பான் பெண் | Japan Vijay Fan

https://tamil.news18.com/videos/tamil-nadu/tvk-vijay-japanese-woman-freezes-in-surprise-after-seeing-vijay-in-person-japan-vijay-fan-1717314.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",1374265849,02-02-2025 09:47,,
9,-1.00137E+12,sent,"Crime Time | பிரியாணி கடைக்கு உரிமம் - மோசடி!- 239 பேரிடம் ரூ. 25 கோடி அபேஸ் - புகார்..

https://tamil.news18.com/videos/tamil-nadu/crime-time-license-for-biryani-shop-fraud-239-people-were-cheated-of-rs-25-crore-complaint-1717250.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",1374265849,02-02-2025 09:47,,
10,-1.00137E+12,sent,"Crime Time | போலி நாக மாணிக்க கற்கள் விற்பனை.. - பல கோடி ரூபாய்க்கு டீல்..

https://tamil.news18.com/videos/tamil-nadu/crime-time-fake-naga-gemstones-for-sale-deal-for-crores-of-rupees-1717248.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",1374265849,02-02-2025 09:47,,
11,-1.00154E+12,sent,"🎬```Limonov: The Ballad```

🎞**Movie Info**
**Limonov: The Ballad** is a 2024 biographical film directed by Kirill Serebrennikov. It is based on Emmanuel Carrère's 2011 book Limonov, a novelized biography of the Russian dissident writer and politician Eduard Limonov, who founded the National Bolshevik Party.

📝️**Synopsis**:
A revolutionary militant, a thug, an underground writer, a butler to a millionaire in Manhattan. But also a switchblade waving poet, a lover of beautiful women, a warmonger, a political agitator and a novelist who wrote of his own greatness. Eduard Limonov's life story is a journey through Russia, America and Europe during the second half of the 20th century.

😀**Genre**: #Biopic
🗣**Language**: English
🌍**Country**: France, Italy, Spain
🗓**Release Date**: 21 February 2025
⏳**Running time**: 138 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Limonov:_The_Ballad)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",1543931431,02-02-2025 09:47,,
12,-1.00154E+12,sent,"🎬```Still Life with Ghosts```

🎞**Movie Info**
**Still Life with Ghosts** (Spanish: Bodegón con fantasmas) is a 2024 Spanish-Serbian ensemble comedy film written and directed by Enrique Buleo.

📝️**Synopsis**:
Structured in five episodes, the plot follows the mishaps of townsfolk and ghosts in a village of La Mancha.

😀**Genre**: #Comedy
🗣**Language**: Spanish
🌍**Country**: Spain, Serbia
🗓**Release Date**: 24 January 2025
⏳**Running time**: ----
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Still_Life_with_Ghosts)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",1543931431,02-02-2025 09:47,,
13,-1.00154E+12,sent,"🎬```Rich Flu```

🎞**Movie Info**
**Rich Flu** (Spanish: La fiebre de los ricos) is a 2024 Spanish film written, directed, and produced by Galder Gaztelu-Urrutia. It stars Mary Elizabeth Winstead, Rafe Spall, Lorraine Bracco, Jonah Hauer-King, and Timothy Spall. It premiered at the 57th Sitges Film Festival on October 6, 2024.

📝️**Synopsis**:
A disease targets the richest people on Earth, starting with billionaires, then millionaires, and so on, causing people to give away their assets to avoid death.

😀**Genre**: # 
🗣**Language**: English
🌍**Country**: Spain
🗓**Release Date**: January 24, 2025
⏳**Running time**: ----
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Rich_Flu)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",1543931431,02-02-2025 09:47,,
14,-1.00154E+12,sent,"🎬```Myocardium```

🎞**Movie Info**
**Myocardium** (Spanish: Miocardio) is a 2024 Spanish comedy-drama film written and directed by José Manuel Carrasco starring Vito Sanz and Marina Salas.

📝️**Synopsis**:
Pablo, a middling writer in crisis and dumped by his wife, receives an unexpected visit from Ana, the former fling who broke his heart 15 years ago, upending his miserable existence.

😀**Genre**: #Drama #Comedy
🗣**Language**: Spanish
🌍**Country**: Spain
🗓**Release Date**: 24 January 2025
⏳**Running time**: ----
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Myocardium_(film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",1543931431,02-02-2025 09:47,,
15,-1.00154E+12,sent,"🎬```Presence```

🎞**Movie Info**
**Presence** is a 2024 American supernatural thriller drama film directed by Steven Soderbergh and written by David Koepp. It stars Lucy Liu, Chris Sullivan, and Callina Liang.

📝️**Synopsis**:
The Paynes, a family of four—mother Rebecca, father Chris, elder brother Tyler, and younger sister Chloe—move into a large suburban house inhabited by a poltergeist (referred to in-universe as the Presence."") The entire film is presented from the Presence's point of view in a series of long takes.",,,,
,,,,,,,
😀**Genre**: #Drama #Thriller,,,,,,,
🗣**Language**: English,,,,,,,
🌍**Country**: United States,,,,,,,
🗓**Release Date**: January 24, 2025,,,,,,
⏳**Running time**: 85 minutes,,,,,,,
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Presence_(2024_film)),,,,,,,
✅Free encyclopedia & fair use,,,,,,,
,,,,,,,
"➡️ **Channel** Movie.t.me""",1543931431,02-02-2025 09:47,,,,,
16,-1.00154E+12,sent,"🎬```Brave the Dark```

🎞**Movie Info**
**Brave the Dark** is a 2023 American drama film directed by Damian Harris and starring Jared Harris and Nicholas Hamilton. The film premiered at the Heartland International Film Festival in October 2023, and was released in the United States on January 24, 2025.

📝️**Synopsis**:
A teacher discovers one of his students has been thrown into jail, and decides to bail him out but quickly discovers the student has dark secrets.

😀**Genre**: #Drama
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 122 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Brave_the_Dark)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",1543931431,02-02-2025 09:47,,
17,-1.00154E+12,sent,"🎬```Flight Risk```

🎞**Movie Info**
**Flight Risk** is a 2025 American action thriller film directed by Mel Gibson and starring Mark Wahlberg,  Michelle Dockery, and Topher Grace. Its plot follows a pilot (Wahlberg) transporting an Air Marshal (Dockery) and a fugitive (Grace) across the Alaskan wilderness, where the identities and intentions of those onboard come into question.

📝️**Synopsis**:
Madolyn Harris, a U.S. Marshal, arrests an accountant named Winston while he is hiding out in a remote part of Alaska after turning informant against his former employer, the Moretti crime family. Madolyn charters a small private airplane to take them to Anchorage so they can transfer to New York City, where she intends for Winston to testify against the📝️

😀**Genre**: #Action #Thriller
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 91 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Flight_Risk_(film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",1543931431,02-02-2025 09:47,,
18,-1.00154E+12,sent,"🎬```Inheritance```

🎞**Movie Info**
**Inheritance** is a 2025 American espionage action film directed by Neil Burger from a screenplay he co-wrote with Olen Steinhauer starring Phoebe Dynevor and Rhys Ifans. The film was released in theaters on January 24, 2025.

📝️**Synopsis**:
A young woman is drawn into an international conspiracy after discovering her father is a spy.

😀**Genre**: #Action
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 101 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Inheritance_(2025_film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",1543931431,02-02-2025 09:47,,
